City,Agency,Location,Suite,Telephone,License Tags Available?,License Mailers Available?,Notes
Lake Forest Park,Lake Forest Park City Hall,"17425 Ballinger Way NE
Lake Forest Park, WA 98155
(47.754272083478156, -122.27745932171229)",,206-368-5440,Y,N,
Bellevue,QFC #874,"1510 145th Pl SE
Bellevue, WA 98007
(47.597362985917364, -122.15067054538201)",,425-653-2162,Y,N,
Bellevue,Bellevue Mini City Hall,"15600 NE Eighth St
Bellevue, WA 98009
(47.617036405265765, -122.13233275808146)",Ste H-9,425-452-2800,Y,N,Check or Money Order Only
Carnation,Carnation City Hall,"4621 Tolt Ave
Carnation, WA 98014
(47.64887154164421, -121.91364758797931)",,425-333-4192,Y,N,
Redmond,QFC #878,"23475 NE Novelty Hill Rd
Redmond, WA 98053
(47.700006992230215, -122.02595492299827)",,425-636-0420,Y,N,
Kirkland,QFC #828,"11224 NE 124th St
Kirkland, WA 98034
(47.711234823170415, -122.19154679683147)",,425-821-8502,Y,N,
Bellevue,Aerowood Animal Hospital,"2975 156th Ave SE
Bellevue, WA 98007
(47.58232171147597, -122.13398148515779)",,425-746-6557,Y,N,
Redmond,Marymoor Park,"6046 W Lake Sammamish Pkwy NE
Redmond, WA 98052
(47.662630253028176, -122.12649936999868)",,206-296-0673,Y,N,
Covington,Covington City Hall,"16720 SE 271st St
Covington, WA 98042
(47.35899307193995, -122.11782066829124)",Ste 100,253-638-1110,Y,N,
Issaquah,QFC #840,"4570 Klahanie Dr SE
Issaquah, WA 98029
(47.566747640490924, -122.00660896310622)",,425-392-2776,Y,N,
Kent,QFC #803,"13304 SE 240th St
Kent, WA 98031
(47.386953857289654, -122.1654398596749)",,253-630-3560,Y,N,
Kirkland,Kirkland City Hall,"123 Fifth Ave
Kirkland, WA 98033
(47.67883695166046, -122.20632294919466)",,425-587-3100,Y,N,
Bellevue,QFC #808,"10116 NE Eighth St
Bellevue, WA 98004
(47.61749464442977, -122.2055861284094)",,425-455-0870,Y,N,
Mercer Island,QFC #839,"7823 SE 28th St
Mercer Island, WA 98040
(47.585451352137966, -122.23285294905901)",,206-230-0745,Y,N,
Redmond,Old Redmond School House Community Center,"16600 NE 80th St
Redmond, WA 98052
(47.674870941511244, -122.11889985472641)",,425-556-2300,Y,N,
Covington,Valley Vehicle Licensing,"27331 172nd Ave SE
Covington, WA 98042
(47.35655960096882, -122.1124696900304)",Ste 116,253-630-7090,Y,N,
Tukwila,Tukwila City Hall,"6200 Southcenter Blvd
Tukwila, WA 98188
(47.46241510530945, -122.25538096589298)",,206-433-1800,Y,N,
Black Diamond,Black Diamond City Hall,"24301 Roberts Dr
Black Diamond, WA 98010
(47.31216537387428, -122.0189402111697)",,360-886-5700,Y,N,
Redmond,QFC #860,"8867 161st Ave NE
Redmond, WA 98052
(47.68111844774748, -122.12558624083692)",,425-869-8006,Y,N,
